a-,1. 无、不、非2. 含有in，on，at，by，with，to，of等意义3. 加强意义
ab-,离去、相反、不
ac-,含有at，to之意，或表示加强及引申意义
ad-,含有at，to之意，或表示加强意义
af-,含有at，to之意，或表示加强意义
ag-,含有at，to之意，或表示加强意义
amphi-,两、双
an-,1. 无、不2. 加强或引申意义
ante-,前、先
anti-,反对、相反、防止
ap-,加强或引申意义
apo-,离开（亦作ap-）
ar-,含有at，to之意，或表示加强及引申意义
as-,含有at，to之意，或表示加强及引申意义
at-,含有at，to之意，或表示加强及引申意义
auto-,自己，自动
be-,1. 使quinquesyllable…、使成为…,2. 加以…、饰以…、用…（做某事）3.在4. 加强及引申意义
bene-,善、好
bi-,两、二
by-,旁、侧、非正式、副
circum-,周围、环绕
co-,共同
col-,共同
com-,1. 共同2. 加强或引申意义
con-,1. 共同2. 加强或引申意义
contra-,反对、相反、相对
cor-,1. 共同、互相2. 加强或引申意义
counter-,反对、相反
de-,1. 否定、非、相反2. 除去、取消、毁3. 离开4. 向下、降低、减少5. 使成…、作成…，或仅作加强意义
deca-,十
deci-,十分之一
demi-,半
di-,二、双
dia-,贯通、对穿、透过、相对
dif-,分开、否定、不
dis-,1. 不、无、相反2. 取消、除去、毁3. 加在含有“分开”、“否定”等意义的单词之前，dis-则作加强意义4. 分开、离、散
dys-,不良、恶、困难
e-,1. 加强或引申意义，使…2. 出、外3. 除去4.出、离去
em-,1. 表示“置于…之内”、“上…”2. 表示“用…做某事”、“饰以…”、“配以…”3. 表示“使成某种状态”、“致使…”、“使之如…”、“作成…”
en-,1. 表示“置于…之中”、“登上…”、“使上…”2. 表示“用…来做某事”、“饰以…”、“配以…”3. 表示“使成某种状态”、“致使…”、“使之如…”、“作成…”4. 加在动词之前，表示“in”，或只作加强意义
endo-,内
ennea-,九
eu-,优、善、好
ex-,1. 出、外、由…中弄出2. 前任的、以前的3. 表示“使…”、“做…”，或作加强意义
exo-,外、外部
extra-,以外、超过
fore-,前、先、预先
hecto-,百
hemi-,半
hepta-,七（在元音前作hept-）
hetero-,异
hexa-,六（在元音前作hex-）
holo-,全
homo-,同
hyper-,超过、过多、太甚
hypo-,下、低、次、少
il-,1. 不、无、非2. 加强或引申意义
im-,1. 不、无、非2. 向内、入3. 加强意义，或表示“使成…”、“饰以…”、“加以…”
in-,1. 不、无、非2. 内、入3. 加强意义，或表示“使…”、“作…”
infra-,下、低
inter-,1. 在…之间、…际2. 互相
intra-,在内、内部
intro-,向内、入内
ir-,1. 不、无2. 向内、入
iso-,等、同
kilo-,千
macro-,大、宏、长
mal-,恶、不良、失、不（亦作male-）
meta-,1. 超2. 变化
micro-,微
milli-,1. 千分之一、毫2. 千
mini-,小
mis-,误、错、恶、不
mono-,单一、独（在元音前作mon-）
multi-,多
neo-,新
non-,1. 不2. 非3. 无
octa-,八（亦作octo-与oct-）
omni-,全、总、公、都
out-,1. 胜过、超过2. 过度、太甚3. 外、出4. 除去
over-,1. 过度、太甚2. 在上、在外、从上、越过3. 颠倒、反转
paleo-,古、旧
pan-,全、泛
para-,1. 半、类似、准2. 辅助、副3. 旁、靠近、外4. 错误、伪5.防、避开、保护
pen-,几乎、相近、相似、不完全是、差不多
penta-,五（在元音前作pent-）
per-,1. 贯穿、通、透、全、遍、自始至终2. 加强意义3. 过、高（用于化学名词）
peri-,周围、外层、靠近
poly-,多
post-,后
pre-,1. 前2. 预先
pro-,1. 向前、在前2. 代理、代替3. 拥护、亲、赞成
proto-,原始
pseudo-,假（在元音前作pseud-）
quadri-,四（亦作quadru-，在元音前作quadr-）
quasi-,类似、准、半
quinque-,五（在元音前作quinqu-）
re-,1. 回、向后2. 再、重复、重新3. 相反、反对
retro-,向后、回、反
se-,离开、分开
semi-,半
sept-,七（亦作septi-及septem-）
sex-,六（亦作sexi-）
Sino-,中国
step-,后、继，后父或后母所生的，前妻或前夫所生的
stereo-,立体
sub-,1. 下2. 次、亚、准3. 稍、略、微4. 副、分支、下级5. 接近6. 更进一层、再7. 用于化学名词，表示化合物成分含量少的
super-,1. 超、超级2. 上3. 过度、过多
supra-,超、上
sur-,上、外、超
sym-,共同、相同
syn-,共同、相同
tetra-,四（在元首前作tetr-）
trans-,1. 超过、横过、超2. 转移、变换
tri-,三
twi-,二、两
ultra-,1. 极端2. 超，以外
un-,1. 不2. 无3. 非4. 未5. 相反动作、取消、除去6. 由…中弄出
under-,1. 下2. 内（用于衣服）3. 不足、少4. 副、次
vice-,副
with-,向后、相反
